おきます	get up
～かい	-th floor
なんがい	what floor
～えん	-yen
いくら	how much
ひゃく	hundred
せん	thousand
まん	ten thousand
すみません	Excuse me.
みせてください	Please show me
じゃ	well, then, in that case
ください	Give me,please
います	have (a child)
います	stay be (in japan)
かかります	take (referring to time or money)
やすみます	take a day off (work)
りんご	apple
みかん	mandarin orange
サンドイッチ	sandwitch
カレーライス	curry (and rice)
アイスクリーム	ice cream
きって	postage stamp
はがき	post card
ふうとう	envelope
そくたつ	special delivery
かきとめ	registered mail
エアメール	airmail
ふなびん	sea mail
りょうしん	parents
きょうだい	brothers and sisters
あに	my - elder brother
おにいさん	someone else's elder brother
あね	my - elder sister
おねえさん	someone else's - elder sister
おとうと	my younger brother
おとうとさん	someone else's younger brother
いもうと	my younger sister
いもうとさん	someone else's younger sister
がいこく	foreign country
じかん	- hours
しゅうかん	- weeks
かげつ	- months
ねん	- years
～ぐらい	about ~
どのくらい	how long
ぜんぶで	in total
みんな	all, everything
だけ	only~
いらっしゃいませ	welcome./May i help you
いい　おてんきですね	nice weather, isn't it?
おてかけですか	are you going out？
ちょっと～まで	I'm just going to~
いっていらっしゃい	so long
いってまいります	so long (I'm　going and coming back)
それから	and, furthermore
のります	ride, get on
おります	get off
のりかえます	change
おびます	take
いれます	put in, insert
だします	take out, withdraw
はいります	enter
でます	graduate from
やめます	quit or retire from,stop,give up
おします	push,press
わかい	young
ながい	long
みじかい	short
あかるい	bright,light
くらい	dark
せが　たかい	tall　(person)
あたまが　いい	clever, smart
からだ	body
あたま	head
かみ	hair
かお	face
め	eye
みみ	ear
くち	mouth
は	tooth
おなか	stomach
あし	leg,foot
サービス	service
ジョギング	jogging
シャワー	shower
みどり	green, greenary
おてら	Buddhist temple
じんじゃ	Shinto shrine
りゅうがくせい	foreign student
ーばん	number-
どうやって	in what way, how
どの	which~
いいえ　まだまだです	I still have a long way to go.
おひきだしですか	Are you making a withdrawal?
まず	first of all
キャッシュカード	cash dispensing card
あんしょうばんごう	personal identification number, PIN
つぎに	next, as a next step
きんがく	amount of money
かくにん	confirmation
ボタン	button
おばえます	memorize
わすれます	forget
なくします	lose
だします	hand in
はらいます	pay
かえします	give back, return
でかけます	go out
ねぎます	take off
もっていきます	take
もってきます	bring
しんぱいします	worry
ざんぎょうします	work overtime
しゅっちょうします	go on a business trip
のみます	take(medicine)
はいります	take(bath)
たいせつ	important,precious
だいじょうぶ	all right
あぶない	dangerous
もんだい	question, problem, trouble
いたえ	answer
きんえん	no smoking
けんこう　はけんしょう	insurance card
かぜ	cold, flu
ねつ	fever
びょうき	illness, disease
くすり	medicine
おふり	bath
うわぎ	jacket, outerwear
したぎ	underwear
せんせい	doctor
2，3にち	a few days
2，3	a few~
までに	before~, by~
